Deposit Name,Location,Tonnage (mt),Pt Grade (%),Au Grade (%),Os Grade (%),Ir Grade (%),Pd Grade (%)
Aleksandrovskii L,Russian Rep.,35500,0.000428,NA,NA,NA,NA
Alexii-Olginsky L,Russian Rep.,60500,0.000388,NA,NA,NA,NA
Anianowsky Lojok,Russian Rep.,38000,0.00073,NA,NA,NA,NA
Arkhangelskii Log,Russian Rep.,4100,0.000148,NA,NA,NA,NA
Besimianni Log,Russian Rep.,67100,0.000131,NA,NA,NA,NA
Bielgorsky Log,Russian Rep.,2000,0.000866,NA,1.84E-05,NA,NA
Bobrowka River,Russian Rep.,1275000,2.30E-07,4.50E-08,3.00E-09,4.00E-09,1.00E-09
Bolshaya Choumika,Russian Rep.,115000,0.000222,NA,NA,NA,NA
Bolshaya Kamenouc,Russian Rep.,197000,0.000206,1.55E-06,1.00E-05,3.70E-06,3.70E-07
Bolshaya Ossokina,Russian Rep.,86600,0.000297,8.90E-06,NA,NA,NA
Bolshaya Prpstoki,Russian Rep.,1210000,0.000137,NA,NA,NA,NA
Bolshaya Sosnnvka,Russian Rep.,1420000,0.00021,NA,NA,NA,NA
Bolshoi Pokap R.,Russian Rep.,2220000,0.000308,7.70E-06,3.10E-06,NA,1.54E-06
Bolshoi Sakciam,Russian Rep.,125000,0.00016,2.00E-05,NA,NA,NA
Ejowka,Russian Rep.,67100,0.000185,NA,NA,NA,NA
Gloubokia 1,Russian Rep.,715000,0.000322,NA,NA,NA,NA
Gloubokia 2,Russian Rep.,15000,0.000617,NA,NA,NA,NA
Illinsky Log,Russian Rep.,33000,0.000343,NA,NA,NA,NA
Ivov R.,Russian Rep.,446000,0.000274,NA,5.50E-05,1.60E-05,5.20E-07
Jerusalimsky-Prii,Russian Rep.,4900,8.00E-05,NA,NA,NA,NA
Jourawlik R.,Russian Rep.,575000,0.000375,1.90E-06,NA,NA,NA
Judinsky-Lojok,Russian Rep.,3073000,5.70E-05,NA,NA,NA,NA
Kamenka,Russian Rep.,77000,0.000222,NA,5.00E-07,NA,NA
Kamenka R.,Russian Rep.,4400,0.000185,NA,NA,NA,NA
Kisslaia-Peruonat,Russian Rep.,1800,0.000297,NA,NA,NA,NA
"Kitlim, Severniy",Russian Rep.,1010000,6.20E-05,2.00E-08,6.00E-07,1.20E-06,2.50E-07
Korobowsky Lojok,Russian Rep.,270000,0.001337,NA,NA,NA,NA
Kossia R.,Russian Rep.,299000,0.00021,NA,NA,NA,NA
Kossoi-Log,Russian Rep.,202000,0.0001599,NA,NA,NA,NA
Kossorgskii Log,Russian Rep.,2360000,4.75E-05,NA,NA,NA,NA
Krutoi Log,Russian Rep.,16600,0.000197,NA,2.80E-07,NA,NA
Lobwa R.,Russian Rep.,7060000,1.65E-05,NA,NA,NA,NA
Logwinska,Russian Rep.,1300000,4.71E-05,NA,NA,NA,NA
Lojok at Bissersk,Russian Rep.,2910000,0.000144,NA,NA,NA,NA
Lojok No. l&2 Omo,Russian Rep.,40900,0.000434,NA,NA,NA,NA
Main Valley of Ki,Russian Rep.,58400,0.000118,2.95E-05,NA,NA,NA
Malaia Koswa R.,Russian Rep.,3280000,1.97E-05,3.00E-07,2.00E-07,4.00E-07,NA
Malaia Prostokisc,Russian Rep.,340000,0.001234,NA,2.47E-05,1.23E-05,3.70E-06
Malaia Sosnowka,Russian Rep.,18200,0.000222,NA,NA,NA,NA
Malomalsky-Priisk,Russian Rep.,30000,0.000128,NA,NA,NA,NA
Malot Pokap,Russian Rep.,340000,0.000313,1.55E-06,7.50E-06,NA,NA
Martian R.,Russian Rep.,1530000,0.000344,NA,1.37E-05,6.90E-06,6.90E-07
Melnitschnaia,Russian Rep.,33000,0.000222,NA,NA,NA,NA
Molitchowka,Russian Rep.,26400,0.0002833,NA,NA,NA,NA
Morphine-Log,Russian Rep.,128600,8.67E-05,4.35E-07,NA,NA,NA
Niasman R.,Russian Rep.,5918000,2.47E-05,NA,NA,NA,NA
Nikolai-Tschoudot,Russian Rep.,3200,0.000123,NA,NA,NA,NA
Novoi-Log,Russian Rep.,177000,4.63E-05,3.94E-06,NA,NA,NA
Obodranny-Lojok,Russian Rep.,87700,0.000247,NA,NA,NA,NA
Panowka,Russian Rep.,17700,0.000197,NA,NA,NA,NA
Patchek,Russian Rep.,19200,0.000197,NA,NA,NA,NA
Pestchanka R.,Russian Rep.,31000,0.000229,NA,NA,NA,NA
Phedinan R.-Triok,Russian Rep.,8600,0.000275,0.000103,NA,NA,NA
Podbornaia,Russian Rep.,58000,0.000411,NA,NA,NA,NA
Podmoskowoi-Log,Russian Rep.,47900,0.000178,1.05E-06,NA,NA,NA
Popowsky-Lojok,Russian Rep.,561000,0.000185,NA,NA,NA,NA
Popretschne-Log,Russian Rep.,47900,0.000519,NA,NA,NA,NA
Roublewik R.,Russian Rep.,327000,0.000229,NA,NA,NA,NA
Sirkov Log,Russian Rep.,213000,0.000173,NA,NA,2.60E-06,3.60E-07
Smal unnamed-Were,Russian Rep.,21800,0.000185,NA,NA,NA,NA
Solovyevskii Log,Russian Rep.,205000,0.000171,NA,2.57E-06,NA,NA
Sosnowka,Russian Rep.,96000,0.000247,NA,NA,NA,NA
Soukhoi Log,Russian Rep.,10000,0.000438,1.15E-06,NA,NA,NA
Srednia-Prostokis,Russian Rep.,152000,0.000457,NA,NA,NA,NA
Stepanoff-Log,Russian Rep.,494000,0.000494,NA,NA,NA,NA
Suftlii Bor Log 2,Russian Rep.,201000,0.000247,NA,8.40E-06,NA,NA
Suftlii Bor Log 3,Russian Rep.,66000,0.000229,NA,NA,NA,NA
Suftlii Bor Log 6,Russian Rep.,78000,0.00043,1.05E-06,2.32E-05,NA,NA
Suftlii Bor Log 7,Russian Rep.,148000,0.000494,2.45E-06,NA,NA,NA
Suftlii Bor Log1,Russian Rep.,31000,0.000457,NA,NA,NA,NA
Syssim R.,Russian Rep.,1160000,8.57E-05,7.00E-07,8.60E-07,NA,1.90E-07
Tilai R.,Russian Rep.,3770000,1.85E-06,NA,9.00E-08,2.00E-08,5.00E-09
Toura R.,Russian Rep.,58000,6.20E-06,5.50E-07,NA,NA,NA
Travenisty Log,Russian Rep.,101000,0.000251,NA,1.01E-05,NA,NA
Trudny-Log,Russian Rep.,65000,0.000389,6.00E-06,NA,NA,NA
Tsauch R.,Russian Rep.,269000,3.43E-05,NA,2.00E-07,3.40E-07,1.40E-07
Tschachewitaia,Russian Rep.,266000,4.00E-05,NA,NA,NA,NA
Tschch R.,Russian Rep.,2230000,3.43E-05,3.50E-07,2.10E-07,NA,7.00E-08
Verkho-Tourie,Russian Rep.,8000,9.80E-05,NA,NA,NA,NA
Wyssim R.,Russian Rep.,3880000,2.06E-05,3.10E-07,1.90E-07,NA,3.00E-08
Yermakof-Log,Russian Rep.,87000,0.000229,NA,NA,NA,NA
"Zaetzeff, R.",Russian Rep.,601000,0.000343,NA,NA,NA,NA
Zemlianoi-Mostik,Russian Rep.,53000,0.000174,1.05E-06,NA,NA,NA
